id,description,severity,category,opened_at,resolved_at,resolution_time_hrs,resolution_notes,assigned_group,resolved_by,status
IM0000006,DTA000024,P3,request for information,29-03-2012 12:36,13-01-2014 15:13,,,SUPPORT-TEAM,unknown,open
IM0000944,WSR000008,P2,incident,27-09-2013 08:52,1/10/2013 18:23,,,SUPPORT-TEAM,unknown,open
IM0035403,SUB000508,P1,incident,10/2/2014 9:20,12/2/2014 12:03,50.72,,SUPPORT-TEAM,unknown,open
IM0034604,SUB000282,P1,incident,6/2/2014 9:40,12/2/2014 12:01,146.35,,SUPPORT-TEAM,unknown,open
IM0001321,CBD000666,P2,incident,1/10/2013 9:46,1/10/2013 12:30,2.73,,SUPPORT-TEAM,unknown,open
IM0001285,CBD000911,P2,incident,1/10/2013 10:10,1/10/2013 12:57,2.78,,SUPPORT-TEAM,unknown,open
IM0001303,WBA000148,P2,incident,1/10/2013 8:43,1/10/2013 9:21,0.63,,SUPPORT-TEAM,unknown,open
IM0000004,SUB000508,P3,incident,5/2/2012 13:32,4/11/2013 13:51,15312.32,,SUPPORT-TEAM,unknown,open
IM0000011,WBA000124,P3,incident,17-07-2012 11:49,14-11-2013 09:31,,,SUPPORT-TEAM,unknown,open
IM0037024,WBA000082,P1,incident,15-02-2014 10:29,17-02-2014 11:54,,,SUPPORT-TEAM,unknown,open
IM0001228,WBA000124,P2,incident,1/10/2013 8:27,1/10/2013 15:34,7.12,,SUPPORT-TEAM,unknown,open
IM0000014,WBA000082,P3,incident,15-08-2012 14:17,27-12-2013 10:59,,,SUPPORT-TEAM,unknown,open
IM0001227,OVR000033,P2,incident,1/10/2013 8:26,1/10/2013 9:14,0.8,,SUPPORT-TEAM,unknown,open
IM0000013,WBA000124,P3,incident,10/8/2012 11:27,8/11/2013 13:54,10922.45,,SUPPORT-TEAM,unknown,open
IM0001286,CBD000910,P2,incident,1/10/2013 10:10,1/10/2013 12:46,2.6,,SUPPORT-TEAM,unknown,open
IM0001225,WBA000124,P2,incident,1/10/2013 8:18,1/10/2013 15:34,7.27,,SUPPORT-TEAM,unknown,open
IM0000012,WBA000124,P3,incident,10/8/2012 11:01,8/11/2013 13:55,10922.9,,SUPPORT-TEAM,unknown,open
IM0000005,WBA000124,P3,incident,12/3/2012 15:44,2/12/2013 12:36,15116.87,,SUPPORT-TEAM,unknown,open
